species_code,season,start_year,end_year,start_date,end_date,srd_id,longitude,latitude,abd,abd_ppy,abd_ppy_lower,abd_ppy_upper,abd_ppy_nonzero,abd_trend,abd_trend_lower,abd_trend_upper
woothr,breeding,2012,2022,05-31,08-23,282923,-7678311.483472064,5589542.018790412,0.01385056147324619,-2.70223698805297,-4.120691793987007,-0.9035303010713563,True,-23.962373058150778,-34.3478552650628,-8.676650756907666
woothr,breeding,2012,2022,05-31,08-23,282924,-7640692.271863648,5589542.25516636,0.020971334305153418,-3.4800603020334933,-7.0511064754531185,-0.6044894959134076,True,-29.82693934318279,-51.867076307148174,-5.883084344259459
woothr,breeding,2012,2022,05-31,08-23,282925,-7603073.072347027,5589542.254495425,0.024008898189525597,-5.578628570007462,-6.907005050759203,-2.453144651768806,True,-43.67476130859163,-51.115629758760626,-21.9931511557646
woothr,breeding,2012,2022,05-31,08-23,282926,-7565453.872837052,5589542.253807595,0.01576081507986127,-4.784021023171147,-6.526093856879033,-3.1449543980108157,True,-38.751089152403104,-49.07818013579869,-27.352194590452605
woothr,breeding,2012,2022,05-31,08-23,282927,-7527834.6733338665,5589542.25310292,0.02282532780400676,-6.730223064131918,-11.811447193014736,-5.07736063085617,True,-50.179350956995705,-71.54738692550957,-40.61208821201869
woothr,breeding,2012,2022,05-31,08-23,282928,-7490215.473837671,5589542.252381476,0.02207627004915709,-6.322809090583552,-8.407394501687515,-4.384137873055086,True,-47.959843846613715,-58.44683256383505,-36.12962701268162
woothr,breeding,2012,2022,05-31,08-23,282929,-7452596.300459964,5589541.8089222405,0.00503719789511483,-5.1578782811592445,-9.284795294462931,-1.588010211237977,True,-41.113924638620844,-62.26009094764413,-14.792047649313922
woothr,breeding,2012,2022,05-31,08-23,284343,-10718635.470130438,5552000.262704328,6.488448360871252e-05,2.5693021743762285,-0.721379264070207,7.284440953819937,False,28.876581646889065,-6.984066407797229,102.00746788165596
woothr,breeding,2012,2022,05-31,08-23,284346,-10606243.963105839,5552000.263349897,0.001002098159835258,3.7840548157868756,0.6432993387739906,5.631150117749723,True,44.979415534405945,6.622449578808021,72.94980806284859
woothr,breeding,2012,2022,05-31,08-23,284347,-10568780.175553871,5552001.122546485,0.03020354255096062,4.047625063520769,0.40055375576752694,7.15225397034561,True,48.70368020564351,4.0785136736956495,99.53225443595323
woothr,breeding,2012,2022,05-31,08-23,284349,-10493852.464419337,5552000.42050206,0.0034999776571217976,5.640725859756516,3.3607670307557305,8.292721553987862,True,73.10665559287477,39.17371983765023,121.81590481290586
woothr,breeding,2012,2022,05-31,08-23,284350,-10456388.679846773,5552001.406742608,0.04463152262674926,3.415787576027908,1.044237814678247,6.939152025642755,True,39.916340365569766,10.946989729961686,95.59932889634875
woothr,breeding,2012,2022,05-31,08-23,284351,-10418924.828390071,5552001.126047159,0.02717615730272166,1.6772237426981413,-1.159247444129073,3.773478168686083,False,18.096436895015987,-11.006060151976893,44.83173455392668
woothr,breeding,2012,2022,05-31,08-23,284352,-10381460.978436107,5552000.860671549,0.02097037981904989,2.645834738301449,-0.17732489212887628,5.628825116640878,False,29.84143553674834,-1.7591657711768738,72.91174460623017
woothr,breeding,2012,2022,05-31,08-23,284353,-10343997.168310309,5552001.409831025,0.040606819458344046,1.8370294704399939,-0.05370737350550158,5.3674775182071,False,19.96573716768204,-0.5357775754382565,68.68087000156866
woothr,breeding,2012,2022,05-31,08-23,284354,-10306533.36149653,5552002.061741346,0.0762960051703535,2.6823764436461466,-0.9121960174849086,4.903138330061124,False,30.304409563935074,-8.756479120368986,61.393042732300415
